"STATION","DATE","CLDD","HTDD","TAVG","TMAX","TMIN"
"USW00093738","1990-12-13",,,,"65","40"
"USW00093738","1990-12-14",,,,"43","28"
"USW00093738","1990-12-15",,,,"45","29"
"USW00093738","1990-12-16",,,,"50","36"
"USW00093738","1990-12-17",,,,"44","29"
"USW00093738","1990-12-18",,,,"66","41"
"USW00093738","1990-12-19",,,,"52","30"
"USW00093738","1990-12-20",,,,"46","26"
"USW00093738","1990-12-21",,,,"49","39"
"USW00093738","1990-12-22",,,,"62","49"
"USW00093738","1990-12-23",,,,"68","61"
"USW00093738","1990-12-24",,,,"64","24"
"USW00093738","1990-12-25",,,,"33","17"
"USW00093738","1990-12-26",,,,"40","17"
"USW00093738","1990-12-27",,,,"29","23"
"USW00093738","1990-12-28",,,,"31","24"
"USW00093738","1990-12-29",,,,"47","31"
"USW00093738","1990-12-30",,,,"67","47"
"USW00093738","1990-12-31",,,,"62","26"
"USW00093738","1991-01-01",,,,"40","18"
"USW00093738","1991-01-02",,,,"49","18"
"USW00093738","1991-01-03",,,,"43","24"
"USW00093738","1991-01-04",,,,"40","22"
"USW00093738","1991-01-05",,,,"42","17"
"USW00093738","1991-01-06",,,,"46","36"
"USW00093738","1991-01-07",,,,"40","25"
"USW00093738","1991-01-08",,,,"29","18"
"USW00093738","1991-01-09",,,,"37","29"
"USW00093738","1991-01-10",,,,"41","32"
"USW00093738","1991-01-11",,,,"37","30"
"USW00093738","1991-01-12",,,,"41","32"
"USW00093738","1991-01-13",,,,"39","21"
"USW00093738","1991-01-14",,,,"44","18"
"USW00093738","1991-01-15",,,,"59","26"
"USW00093738","1991-01-16",,,,"47","37"
"USW00093738","1991-01-17",,,,"46","33"
"USW00093738","1991-01-18",,,,"47","25"
"USW00093738","1991-01-19",,,,"56","25"
"USW00093738","1991-01-20",,,,"57","33"
"USW00093738","1991-01-21",,,,"44","22"
"USW00093738","1991-01-22",,,,"25","10"
"USW00093738","1991-01-23",,,,"40","9"
"USW00093738","1991-01-24",,,,"43","26"
"USW00093738","1991-01-25",,,,"30","13"
"USW00093738","1991-01-26",,,,"41","10"
"USW00093738","1991-01-27",,,,"48","20"
"USW00093738","1991-01-28",,,,"53","26"
"USW00093738","1991-01-29",,,,"55","26"
"USW00093738","1991-01-30",,,,"57","36"
"USW00093738","1991-01-31",,,,"50","23"
"USW00093738","1991-02-01",,,,"47","13"
"USW00093738","1991-02-02",,,,"54","23"
"USW00093738","1991-02-03",,,,"66","22"
"USW00093738","1991-02-04",,,,"70","21"
"USW00093738","1991-02-05",,,,"73","31"
"USW00093738","1991-02-06",,,,"57","51"
"USW00093738","1991-02-07",,,,"51","46"
"USW00093738","1991-02-08",,,,"48","33"
"USW00093738","1991-02-09",,,,"55","29"
"USW00093738","1991-02-10",,,,"49","28"
"USW00093738","1991-02-11",,,,"41","26"
"USW00093738","1991-02-12",,,,"38","19"
"USW00093738","1991-02-13",,,,"47","27"
"USW00093738","1991-02-14",,,,"57","32"
"USW00093738","1991-02-15",,,,"37","18"
"USW00093738","1991-02-16",,,,"30","13"
"USW00093738","1991-02-17",,,,"44","19"
"USW00093738","1991-02-18",,,,"44","33"
"USW00093738","1991-02-19",,,,"60","44"
"USW00093738","1991-02-20",,,,"63","39"
"USW00093738","1991-02-21",,,,"63","28"
"USW00093738","1991-02-22",,,,"71","38"
"USW00093738","1991-02-23",,,,"39","20"
"USW00093738","1991-02-24",,,,"50","17"
"USW00093738","1991-02-25",,,,"48","30"
"USW00093738","1991-02-26",,,,"40","28"
"USW00093738","1991-02-27",,,,"44","20"
"USW00093738","1991-02-28",,,,"58","19"
"USW00093738","1991-03-01",,,,"69","33"
"USW00093738","1991-03-02",,,,"71","56"
"USW00093738","1991-03-03",,,,"63","50"
"USW00093738","1991-03-04",,,,"57","38"
"USW00093738","1991-03-05",,,,"60","32"
"USW00093738","1991-03-06",,,,"62","30"
"USW00093738","1991-03-07",,,,"54","36"
"USW00093738","1991-03-08",,,,"49","30"
"USW00093738","1991-03-09",,,,"49","25"
"USW00093738","1991-03-10",,,,"48","23"
"USW00093738","1991-03-11",,,,"46","30"
"USW00093738","1991-03-12",,,,"46","24"
"USW00093738","1991-03-13",,,,"38","28"
"USW00093738","1991-03-14",,,,"36","32"
"USW00093738","1991-03-15",,,,"47","34"
"USW00093738","1991-03-16",,,,"56","25"
"USW00093738","1991-03-17",,,,"64","23"
"USW00093738","1991-03-18",,,,"53","43"
"USW00093738","1991-03-19",,,,"54","41"
"USW00093738","1991-03-20",,,,"64","40"
"USW00093738","1991-03-21",,,,"65","44"
"USW00093738","1991-03-22",,,,"60","44"
"USW00093738","1991-03-23",,,,"49","44"
"USW00093738","1991-03-24",,,,"66","43"
"USW00093738","1991-03-25",,,,"62","36"
"USW00093738","1991-03-26",,,,"59","29"
"USW00093738","1991-03-27",,,,"73","45"
"USW00093738","1991-03-28",,,,"77","51"
"USW00093738","1991-03-29",,,,"55","45"
"USW00093738","1991-03-30",,,,"46","30"
"USW00093738","1991-03-31",,,,"54","24"
"USW00093738","1991-04-01",,,,"57","27"
"USW00093738","1991-04-02",,,,"53","28"
"USW00093738","1991-04-03",,,,"61","23"
"USW00093738","1991-04-04",,,,"69","34"
"USW00093738","1991-04-05",,,,"63","51"
"USW00093738","1991-04-06",,,,"78","40"
"USW00093738","1991-04-07",,,,"84","42"
"USW00093738","1991-04-08",,,,"87","50"
"USW00093738","1991-04-09",,,,"85","62"
"USW00093738","1991-04-10",,,,"75","46"
"USW00093738","1991-04-11",,,,"65","40"
"USW00093738","1991-04-12",,,,"59","39"
"USW00093738","1991-04-13",,,,"50","44"
"USW00093738","1991-04-14",,,,"47","44"
"USW00093738","1991-04-15",,,,"56","46"
"USW00093738","1991-04-16",,,,"78","40"
"USW00093738","1991-04-17",,,,"85","47"
"USW00093738","1991-04-18",,,,"67","48"
"USW00093738","1991-04-19",,,,"55","45"
"USW00093738","1991-04-20",,,,"50","44"
"USW00093738","1991-04-21",,,,"53","45"
"USW00093738","1991-04-22",,,,"61","39"
"USW00093738","1991-04-23",,,,"68","36"
"USW00093738","1991-04-24",,,,"72","49"
"USW00093738","1991-04-25",,,,"73","47"
"USW00093738","1991-04-26",,,,"77","49"
"USW00093738","1991-04-27",,,,"83","53"
"USW00093738","1991-04-28",,,,"81","55"
"USW00093738","1991-04-29",,,,"61","54"
"USW00093738","1991-04-30",,,,"80","55"
"USW00093738","1991-05-01",,,,"82","46"
"USW00093738","1991-05-02",,,,"72","45"
"USW00093738","1991-05-03",,,,"68","42"
"USW00093738","1991-05-04",,,,"72","45"
"USW00093738","1991-05-05",,,,"74","55"
"USW00093738","1991-05-06",,,,"81","54"
"USW00093738","1991-05-07",,,,"72","46"
"USW00093738","1991-05-08",,,,"78","42"
"USW00093738","1991-05-09",,,,"63","57"
"USW00093738","1991-05-10",,,,"80","53"
"USW00093738","1991-05-11",,,,"75","52"
"USW00093738","1991-05-12",,,,"89","53"
"USW00093738","1991-05-13",,,,"89","62"
"USW00093738","1991-05-14",,,,"88","61"
"USW00093738","1991-05-15",,,,"88","59"
"USW00093738","1991-05-16",,,,"84","56"
"USW00093738","1991-05-17",,,,"87","60"
"USW00093738","1991-05-18",,,,"73","57"
"USW00093738","1991-05-19",,,,"62","51"
"USW00093738","1991-05-20",,,,"67","53"
"USW00093738","1991-05-21",,,,"79","58"
"USW00093738","1991-05-22",,,,"86","59"
"USW00093738","1991-05-23",,,,"87","62"
